"workflow","run_count","median_duration_minutes","failure_rate","cancelled_rate","billed_minutes_proxy"
"Harness Self-Containment Validation",45,"6.183333333333334","0","0",307
"filesystem-interfaces-perf-regression",13,"16.883333333333333","0","0",224
"PR Auto Merge",131,"0.2","0.015267175572519083","0.09923664122137404",172
"PR Clean State Enforcer",142,"0.31666666666666665","0.028169014084507043","0",143
"PR Triage",84,"0.16666666666666666","0.011904761904761904","0",84
"PR Autonomy Policy",82,"0.15","0.21951219512195122","0",82
"AI Review Gate",73,"0.5166666666666667","0.1506849315068493","0.3972602739726027",79
"Main Push Safety",16,"2.816666666666667","0","0",49
"Commit and Branch Standards",42,"0.15","0","0",42
"PR Quality Standards",42,"0.13333333333333333","0.047619047619047616","0",42
"Skills Validation",9,"3.7666666666666666","0","0",37
"Harness Smoke Checks",35,"0.3","0","0",35
"Agency Validation",27,"0.2","0.07407407407407407","0",27
"Deny-by-Default Gates",9,"2.1666666666666665","0","0",26
"ADR Auto-Prompt on Merge",19,"0.15","0","0",19
"Main PR-First Guard",19,"0.21666666666666667","0.42105263157894735","0",19
"Release Please",19,"0.25","0","0",19
"Principles Governance Lint",6,"1.5583333333333333","0.3333333333333333","0",11
"Autonomy Release Health",8,"0.30833333333333335","0.375","0",8
"Kaizen Autopilot",1,"0.23333333333333334","0","0",1
"PR Stale Close",1,"0.11666666666666667","0","0",1
".github/workflows/codex-pr-review.yml",59,"0","1","0",0
".github/workflows/filesystem-interfaces-runtime.yml",59,"0","1","0",0
".github/workflows/filesystem-interfaces-slo-tune.yml",59,"0","1","0",0
