source_unit,destination_path,move_type,rationale,cleanup_required,priority
.harmony/cognition/practices/methodology/README.md::Kit Architecture and Stage Mapping,.harmony/capabilities/runtime/services/_meta/docs/platform-overview.md,summarize-and-link,README.md:91 runtime mapping detail overlaps capability docs,summarize and link to canonical runtime docs,high
.harmony/cognition/practices/methodology/README.md::Harmony's Components,.harmony/cognition/practices/methodology/tooling-and-metrics.md,summarize-and-link,README.md:200 large component catalog duplicates downstream surfaces,reduce to concise map and link to canonical tooling/ops docs,high
.harmony/cognition/practices/methodology/README.md::AI IDE Prompt Library,.harmony/cognition/practices/methodology/playbooks/prompts.md,move,README.md:587 prompt playbook content in methodology hub,move to playbook prompt surface and keep link,high
.harmony/cognition/practices/methodology/README.md::Worked Example — “OAuth login + org billing” (sketch),.harmony/cognition/practices/methodology/examples/oauth-billing.md,move,README.md:656 long example better suited to examples surface,move to examples and keep pointer,high
.harmony/cognition/practices/methodology/README.md::Prompt Snippets Library,.harmony/cognition/practices/methodology/playbooks/prompts.md,move,README.md:680 duplicate prompt library surface,merge into single prompt artifact,high
.harmony/cognition/practices/methodology/README.md::Quick‑Start Page (tomorrow morning),.harmony/cognition/practices/methodology/playbooks/quick-start.md,move,README.md:712 operational checklist content belongs in playbook,move to quick-start playbook and keep hub link,high
.harmony/cognition/practices/methodology/flow-and-wip-policy.md::Tiered Gates Reference,.harmony/cognition/practices/methodology/ci-cd-quality-gates.md,merge,flow-and-wip-policy.md:151 duplicated gate matrices,move matrix authority to ci-cd-quality-gates and keep brief reference,high
.harmony/cognition/practices/methodology/flow-and-wip-policy.md::Change Types → Tier Mapping,.harmony/cognition/practices/methodology/auto-tier-assignment.md,summarize-and-link,flow-and-wip-policy.md:201 overlaps auto-tier assignment classifier,reduce to examples and link classifier as canonical,high
.harmony/cognition/practices/methodology/performance-and-scalability.md::Default Budgets (Normative),.harmony/cognition/practices/methodology/reliability-and-ops.md,merge,performance-and-scalability.md:20 shared SLO defaults duplicated in reliability/sandbox docs,keep perf-specific budgets; merge shared SLO defaults into reliability canonical section,high
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 1: Trivial Changes,.harmony/cognition/practices/methodology/templates/spec-tier1.yaml,summarize-and-link,risk-tiers.md:159 inline template duplicates canonical template YAML,summarize and link to template file,medium
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 2: Standard Changes,.harmony/cognition/practices/methodology/templates/spec-tier2.yaml,summarize-and-link,risk-tiers.md:282 inline template duplicates canonical template YAML,summarize and link to template file,medium
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 3: Elevated Changes,.harmony/cognition/practices/methodology/templates/spec-tier3.yaml,summarize-and-link,risk-tiers.md:505 inline template duplicates canonical template YAML,summarize and link to template file,medium
.harmony/cognition/practices/methodology/sandbox-flow.md::Baseline Defaults,.harmony/cognition/practices/methodology/reliability-and-ops.md,merge,sandbox-flow.md:36 repeated thresholds duplicate reliability/performance defaults,replace hardcoded thresholds with references,high
.harmony/cognition/practices/methodology/spec-first-planning.md::Legacy: SpecKit One-Pager Template,.harmony/cognition/practices/methodology/archive/spec-one-pager-legacy.md,move,spec-first-planning.md:340 legacy template retained in active doc,move to archive with non-normative marker,high
.harmony/cognition/practices/methodology/tooling-and-metrics.md::CI Health Targets,.harmony/cognition/practices/methodology/ci-cd-quality-gates.md,merge,tooling-and-metrics.md:43 duplicates CI target numbers in ci-cd-quality-gates.md:191,remove numeric ownership here and reference canonical CI gate target section,high
.harmony/cognition/practices/methodology/flow-and-wip-policy.md::Tiered Gates Reference table,.harmony/cognition/practices/methodology/ci-cd-quality-gates.md,merge,flow-and-wip-policy.md:151 duplicate table block,move table ownership to ci-cd-quality-gates,high
.harmony/cognition/practices/methodology/flow-and-wip-policy.md::Risk Tiers Overview table,.harmony/cognition/practices/methodology/risk-tiers.md,summarize-and-link,flow-and-wip-policy.md:26 duplicate tier table,summarize-and-link to risk-tiers contract,high
.harmony/cognition/practices/methodology/tooling-and-metrics.md::CI Health Targets block,.harmony/cognition/practices/methodology/ci-cd-quality-gates.md,merge,tooling-and-metrics.md:43 duplicated CI target constants,reference canonical target section,high
.harmony/cognition/practices/methodology/performance-and-scalability.md::Default Budgets block,.harmony/cognition/practices/methodology/reliability-and-ops.md,merge,performance-and-scalability.md:20 duplicated SLO constants,consolidate shared SLO constants in reliability-and-ops,high
.harmony/cognition/practices/methodology/sandbox-flow.md::Baseline Defaults block,.harmony/cognition/practices/methodology/reliability-and-ops.md,merge,sandbox-flow.md:36 duplicated threshold constants,replace constants with canonical references,high
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 1 inline template block,.harmony/cognition/practices/methodology/templates/spec-tier1.yaml,summarize-and-link,risk-tiers.md:159 inline template duplication,summarize-and-link to template YAML,high
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 2 inline template block,.harmony/cognition/practices/methodology/templates/spec-tier2.yaml,summarize-and-link,risk-tiers.md:282 inline template duplication,summarize-and-link to template YAML,high
.harmony/cognition/practices/methodology/risk-tiers.md::Tier 3 inline template block,.harmony/cognition/practices/methodology/templates/spec-tier3.yaml,summarize-and-link,risk-tiers.md:505 inline template duplication,summarize-and-link to template YAML,high
